timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
0.0,0,wide,-1.5,0.33,1.83,-1.5,0.0,0.715,0.9,0.0,0.0,0.0,89.3,0,,0.0,0.0,0.0,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
0.501,15,wide,-8.69,-1.4,7.29,-8.69,0.0,0.817,0.956,0.849,0.902,-3.95,98.5,4,1;4;6;7,0.176,0.688,0.177,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
1.001,30,wide,-7.01,-1.79,5.22,-7.01,0.0,0.766,0.922,0.0,0.297,1.68,89.4,0,,0.0,0.0,0.132,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
1.502,45,wide,-7.81,-3.48,4.33,-7.81,0.0,0.784,0.919,0.0,0.354,-3.28,90.3,0,,0.0,0.0,0.072,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
2.002,60,wide,-3.16,-2.76,0.4,-3.16,0.0,0.814,0.924,0.0,0.517,4.17,92.8,0,,0.0,0.0,0.043,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
2.502,75,wide,-6.69,-3.06,3.63,-6.69,0.0,0.866,0.921,0.0,0.369,-1.77,90.5,0,,0.0,0.0,0.077,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
3.003,90,wide,-0.8,-2.25,-1.45,-0.8,0.0,0.834,0.915,0.0,0.197,2.29,88.0,0,,0.0,0.0,0.079,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
3.504,105,wide,1.13,-0.96,-2.09,1.13,0.0,0.829,0.923,0.0,0.428,1.74,91.4,0,,0.0,0.0,0.081,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
4.004,120,wide,3.24,5.95,2.71,3.24,0.0,0.878,0.935,0.0,0.574,8.0,93.6,0,,0.0,0.0,0.171,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
4.505,135,wide,41.05,11.78,-29.27,41.05,0.0,0.882,0.93,0.803,0.072,3.06,91.0,4,3;5;9;10,0.06,0.579,0.219,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
5.005,150,wide,5.98,11.97,5.99,5.98,0.0,0.822,0.948,0.888,0.777,-8.0,96.7,3,7;11;12,0.117,0.975,0.076,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
5.506,165,wide,9.95,13.17,3.22,9.95,0.0,0.806,0.912,0.0,0.177,2.45,87.9,0,,0.0,0.0,0.093,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
6.006,180,wide,11.06,14.36,3.3,11.06,0.0,0.822,0.943,0.843,0.579,0.93,93.7,5,2;3;5;9;10,0.114,0.671,0.104,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
6.506,195,wide,8.91,14.6,5.69,8.91,0.0,0.867,0.912,0.0,0.22,-1.21,88.3,0,,0.0,0.0,0.061,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
