timestamp,anchor_source,anchor_position,flow_direction,flow_sustained,flow_offset_deg,combined_raw_yaw,clamped_yaw,target_yaw,ball_conf,samples_since_anchor
0.0,centroid,-1.5,0,0,0.0,-1.5,-1.5,-1.5,,
0.501,anchor,-58.11,-1,0,0.0,-58.11,-58.11,-14.03,0.859,0
1.001,anchor,-63.98,0,0,0.0,-63.98,-63.98,-26.53,0.854,0
1.502,anchor,-66.14,-1,0,0.0,-66.14,-66.14,-39.05,0.86,0
2.002,anchor,-66.52,0,0,0.0,-66.52,-66.52,-51.55,0.858,0
2.502,anchor,-65.8,1,0,0.0,-65.8,-65.8,-64.05,0.872,0
3.003,anchor,-63.68,1,0,0.0,-63.68,-63.68,-63.68,0.859,0
3.504,anchor,-59.86,1,1,3.5,-56.36,-56.36,-56.36,0.86,0
4.004,anchor,-54.77,1,1,5.78,-49.0,-49.0,-49.0,0.865,0
4.505,anchor,-53.58,1,1,7.25,-46.33,-46.33,-46.33,0.678,0
5.005,anchor,-43.63,0,0,4.71,-38.92,-38.92,-38.92,0.726,0
5.506,anchor,-38.5,0,0,3.06,-35.44,-35.44,-35.44,0.766,0
6.006,held_anchor,-38.5,1,0,1.99,-36.51,-36.51,-36.51,,1
6.506,held_anchor,-38.5,1,0,1.29,-37.21,-37.21,-37.21,,2
7.007,held_anchor,-38.5,0,0,0.84,-37.66,-37.66,-37.66,,3
7.508,held_anchor,-38.5,0,0,0.55,-37.95,-37.95,-37.95,,4
8.008,centroid,8.65,0,0,0.36,9.01,9.01,-25.45,,5
8.508,centroid,3.51,1,0,0.23,3.74,3.74,-12.95,,6
9.009,centroid,3.49,0,0,0.15,3.64,3.64,-0.43,,7
9.51,centroid,8.75,1,0,0.1,8.85,8.85,8.85,,8
10.01,centroid,-10.33,0,0,0.06,-10.27,-10.27,-3.65,,9
10.511,centroid,-12.3,1,0,0.04,-12.26,-12.26,-12.26,,10
11.011,centroid,-12.15,0,0,0.03,-12.12,-12.12,-12.12,,11
11.511,centroid,-12.26,0,0,0.02,-12.24,-12.24,-12.24,,12
12.012,centroid,-18.73,-1,0,0.01,-18.72,-18.72,-18.72,,13
12.513,centroid,-12.57,1,0,0.01,-12.56,-12.56,-12.56,,14
13.013,centroid,-16.55,0,0,0.0,-16.55,-16.55,-16.55,,15
13.514,centroid,-16.35,0,0,0.0,-16.35,-16.35,-16.35,,16
14.014,centroid,-21.59,0,0,0.0,-21.59,-21.59,-21.59,,17
14.514,centroid,-38.29,0,0,0.0,-38.29,-38.29,-34.09,,18
15.015,centroid,-41.98,-1,0,0.0,-41.98,-41.98,-41.98,,19
15.515,centroid,-42.89,-1,0,0.0,-42.89,-42.89,-42.89,,20
16.016,centroid,-45.03,0,0,0.0,-45.03,-45.03,-45.03,,21
16.517,centroid,-42.06,0,0,0.0,-42.06,-42.06,-42.06,,22
17.017,centroid,-42.12,0,0,0.0,-42.12,-42.12,-42.12,,23
17.518,centroid,-40.42,-1,0,0.0,-40.42,-40.42,-40.42,,24
18.018,centroid,-44.57,0,0,0.0,-44.57,-44.57,-44.57,,25
18.518,centroid,-43.93,-1,0,0.0,-43.93,-43.93,-43.93,,26
19.019,centroid,-21.27,-1,0,0.0,-21.27,-21.27,-31.4,,27
19.52,centroid,-21.45,0,0,0.0,-21.45,-21.45,-21.45,,28
20.02,centroid,-27.3,0,0,0.0,-27.3,-27.3,-27.3,,29
20.521,centroid,-20.84,1,0,0.0,-20.84,-20.84,-20.84,,30
21.021,centroid,-20.35,0,0,0.0,-20.35,-20.35,-20.35,,31
21.521,centroid,-19.64,0,0,0.0,-19.64,-19.64,-19.64,,32
22.022,centroid,-20.23,-1,0,0.0,-20.23,-20.23,-20.23,,33
22.523,centroid,-20.23,1,0,0.0,-20.23,-20.23,-20.23,,34
23.023,centroid,-17.18,-1,0,0.0,-17.18,-17.18,-17.18,,35
23.524,centroid,-16.46,0,0,0.0,-16.46,-16.46,-16.46,,36
24.024,centroid,-14.79,0,0,0.0,-14.79,-14.79,-14.79,,37
24.524,centroid,-13.32,0,0,0.0,-13.32,-13.32,-13.32,,38
25.025,centroid,2.77,0,0,0.0,2.77,2.77,-0.79,,39
25.526,centroid,17.94,0,0,0.0,17.94,17.94,11.73,,40
26.026,centroid,3.27,0,0,0.0,3.27,3.27,3.27,,41
