timestamp,target_yaw
0.0,-35.8
0.501,-8.69
1.001,-7.01
1.502,-39.11
2.002,-31.88
2.502,-38.13
3.003,4.38
3.504,1.13
4.004,3.24
4.505,-51.61
5.005,-50.8
5.506,38.66
6.006,7.86
6.506,8.3
7.007,-48.75
7.508,-46.96
8.008,-41.61
8.508,-41.07
9.009,-48.04
9.51,-40.8
10.01,56.7
10.511,-40.89
11.011,-12.15
11.511,-12.26
12.012,-46.61
12.513,-12.57
13.013,-16.55
13.514,-38.93
14.014,-39.02
14.514,-38.29
15.015,63.48
15.515,-42.89
16.016,-45.03
16.517,-42.06
17.017,-48.21
17.518,-3.48
18.018,-49.29
18.518,-50.0
19.019,-21.27
19.52,-50.89
20.02,-51.79
20.521,-52.14
21.021,-20.35
21.521,-9.2
22.022,-20.23
22.523,-20.23
23.023,-17.18
23.524,-34.2
24.024,-14.79
24.524,-13.32
25.025,54.2
25.526,17.94
26.026,18.3
26.527,-54.29
27.027,-55.27
27.527,-30.54
28.028,-33.75
28.529,14.0
29.029,-12.32
29.53,9.89
30.03,-14.65
30.53,11.52
31.031,-19.55
31.532,-61.61
32.032,-58.21
32.532,-59.64
33.033,-61.34
33.534,-3.44
34.034,37.59
34.535,-5.8
35.035,-64.64
35.535,-39.64
36.036,-39.64
36.537,-9.01
37.037,4.91
37.538,18.33
38.038,19.68
38.538,-26.74
39.039,-48.66
39.54,-37.14
40.04,51.34
40.541,51.61
41.041,-3.06
41.541,-3.66
42.042,44.29
42.543,-3.71
43.043,-24.46
43.544,49.69
44.044,-4.82
44.544,14.54
45.045,7.14
45.546,-24.46
46.046,-23.39
46.547,1.61
47.047,-40.09
47.547,-3.13
48.048,-6.01
48.549,50.54
49.049,5.09
49.55,-0.08
50.05,2.32
50.55,26.07
51.051,16.25
51.552,-12.86
52.052,-50.98
52.553,-16.07
53.053,-33.75
53.553,-11.16
54.054,8.01
54.555,1.14
55.055,-51.61
55.556,-1.62
56.056,-15.0
56.556,17.59
57.057,-4.63
57.558,-40.36
58.058,-40.36
58.559,-51.96
59.059,-2.6
59.559,19.29
60.06,-0.12
60.56,21.07
61.061,22.14
61.562,22.59
62.062,-1.16
62.562,-59.11
63.063,25.18
63.563,26.34
64.064,-1.12
64.564,-52.68
65.065,-52.32
65.566,-51.79
66.066,65.71
66.567,15.18
67.067,-45.36
67.567,-2.92
68.068,-41.7
68.569,11.7
69.069,-43.13
69.57,-44.29
70.07,-11.24
70.57,-8.5
71.071,-48.21
71.572,-46.07
72.072,41.87
72.573,-38.3
73.073,-38.66
73.573,-45.27
74.074,-14.2
74.575,50.09
75.075,9.37
75.576,12.41
76.076,30.98
76.576,15.63
77.077,21.6
77.578,25.6
78.078,13.39
78.579,31.52
79.079,32.05
79.579,34.75
80.08,33.34
80.581,24.63
81.081,24.2
81.582,20.8
82.082,20.71
82.582,41.34
83.083,23.05
83.584,-69.73
84.084,1.14
84.585,28.93
85.085,26.62
85.585,-45.89
86.086,-45.8
86.587,37.41
87.087,-34.91
87.588,-35.0
88.088,-14.64
88.588,-5.46
89.089,-44.11
89.59,50.71
90.09,-50.45
90.591,-47.5
91.091,-46.34
91.591,-26.52
92.092,-76.25
92.593,-62.32
93.093,-54.64
93.594,-18.84
94.094,-15.27
94.594,-32.59
95.095,-28.84
95.596,-24.2
96.096,-17.95
96.597,13.93
97.097,16.34
97.597,-9.29
98.098,-54.38
98.599,-48.57
99.099,50.09
99.6,12.05
100.1,12.86
100.6,13.93
101.101,6.6
101.602,14.91
102.102,6.8
102.603,54.55
103.103,14.02
103.603,0.25
104.104,5.47
104.605,27.21
105.105,18.75
105.606,-2.8
106.106,-1.57
106.606,49.02
107.107,47.68
107.608,-16.07
108.108,-28.12
108.609,-17.32
109.109,-7.23
109.609,17.5
110.11,7.86
110.611,-0.14
111.111,-42.05
111.612,0.19
112.112,-22.14
112.612,-7.65
113.113,-57.68
113.614,29.73
114.114,-16.48
114.615,-61.43
115.115,-18.75
115.615,-17.88
116.116,-11.45
116.617,-52.95
117.117,-8.75
117.618,-11.79
118.118,-8.06
118.618,12.68
119.119,-18.3
119.62,-37.95
