timestamp,target_yaw
0.0,-1.5
0.501,-8.69
1.001,-7.01
1.502,-7.81
2.002,-3.16
2.502,-6.69
3.003,4.38
3.504,4.38
4.004,4.38
4.505,22.71
5.005,5.98
5.506,9.95
6.006,11.06
6.506,8.3
7.007,7.77
7.508,7.77
8.008,7.77
8.508,5.64
9.009,3.49
9.51,8.75
10.01,-10.33
10.511,-12.3
11.011,-12.15
11.511,-12.26
12.012,-18.73
12.513,-12.57
13.013,-16.55
13.514,-16.35
14.014,-39.02
14.514,-39.02
15.015,-39.02
15.515,-40.95
16.016,-45.03
16.517,-42.06
17.017,-42.12
17.518,-48.66
18.018,-49.29
18.518,-49.91
19.019,-50.18
19.52,-50.89
20.02,-51.79
20.521,-52.14
21.021,-52.14
21.521,-52.14
22.022,-36.19
22.523,-20.23
23.023,-17.18
23.524,-16.46
24.024,-14.79
24.524,-13.32
25.025,2.77
25.526,17.94
26.026,3.27
26.527,3.84
27.027,-10.18
27.527,-9.16
28.028,-17.58
28.529,14.0
29.029,8.35
29.53,9.89
30.03,-14.65
30.53,11.52
31.031,11.1
31.532,6.27
32.032,10.8
32.532,-4.6
33.033,12.84
33.534,-3.44
34.034,13.46
34.535,-5.8
35.035,22.05
35.535,20.24
36.036,4.46
36.537,-9.01
37.037,4.91
37.538,18.33
38.038,19.68
38.538,-26.74
39.039,-23.6
39.54,-11.04
40.04,-12.23
40.541,4.53
41.041,-3.06
41.541,-1.58
42.042,1.94
42.543,-3.71
43.043,1.74
43.544,49.69
44.044,18.04
44.544,14.54
45.045,20.2
45.546,18.24
46.046,-0.08
46.547,-1.67
47.047,-3.91
47.547,-7.19
48.048,6.7
48.549,6.7
49.049,6.7
49.55,3.31
50.05,-2.75
50.55,26.07
51.051,16.25
51.552,16.25
52.052,16.25
52.553,10.51
53.053,3.64
53.553,-2.34
54.054,8.01
54.555,1.14
55.055,-5.83
55.556,-1.62
56.056,-15.0
56.556,-33.66
57.057,-33.66
57.558,-33.66
58.058,-40.36
58.559,-51.96
59.059,-51.96
59.559,-51.96
60.06,-26.04
60.56,-1.29
61.061,3.2
61.562,3.36
62.062,-1.16
62.562,-1.16
63.063,-1.16
63.563,-1.61
64.064,-1.12
64.564,31.92
65.065,1.0
65.566,1.34
66.066,1.45
66.567,-2.64
67.067,13.48
67.567,13.48
68.068,13.48
68.569,-0.46
69.069,-4.62
69.57,-7.05
70.07,-11.24
70.57,-8.5
71.071,-9.41
71.572,-10.24
72.072,-7.99
72.573,-13.24
73.073,-14.73
73.573,-14.73
74.074,-14.73
74.575,-14.29
75.075,-14.29
75.576,-14.29
76.076,-3.68
76.576,0.24
77.077,21.6
77.578,25.6
78.078,32.38
78.579,31.52
79.079,32.05
79.579,32.05
80.08,32.05
80.581,28.34
81.081,24.89
81.582,22.68
82.082,22.68
82.582,22.68
83.083,22.86
83.584,15.74
84.084,18.57
84.585,20.71
85.085,20.71
85.585,20.71
86.086,2.99
86.587,37.41
87.087,37.41
87.588,37.41
88.088,13.39
88.588,-5.46
89.089,-4.11
89.59,1.17
90.09,-6.09
90.591,-6.44
91.091,-10.54
91.591,-26.52
92.092,-26.52
92.593,-26.52
93.093,-9.13
93.594,-18.93
94.094,-15.45
94.594,-32.5
95.095,-29.02
95.596,-24.91
96.096,-17.95
96.597,-17.95
97.097,-17.95
97.597,-9.39
98.098,-3.35
98.599,10.61
99.099,1.76
99.6,-0.53
100.1,5.36
100.6,13.93
101.101,13.93
101.602,13.93
102.102,14.29
102.603,14.29
103.103,14.29
103.603,7.27
104.104,5.47
104.605,27.21
105.105,6.4
105.606,-2.8
106.106,-1.57
106.606,-2.63
107.107,-13.75
107.608,-16.07
108.108,-28.12
108.609,-17.32
109.109,-7.23
109.609,-7.23
110.11,-7.23
110.611,-3.69
111.111,-7.37
111.612,0.19
112.112,4.95
112.612,-7.65
113.113,-4.05
113.614,-10.38
114.114,-16.48
114.615,-6.31
115.115,-18.46
115.615,-17.88
116.116,-11.45
116.617,-9.31
117.117,-8.75
117.618,-0.9
118.118,-8.06
118.618,-10.78
119.119,-18.55
119.62,-19.64
